fips,state,cty,crop,unit,bchmk,bchmk_prc,act_yld,nat_prc,year
01001,Alabama,Autauga,Barley,Bushel,45.33,4.95,42,7.4,2022
01001,Alabama,Autauga,Corn,Bushel,164.21,3.7,85,6.54,2022
01001,Alabama,Autauga,Grain Sorghum,Bushel,42.33,3.95,41.1,5.94,2022
01001,Alabama,Autauga,Oats,Bushel,45.67,2.67,46,4.57,2022
01001,Alabama,Autauga,Peanuts,Pound,2947.33,0.27,3341,0.27,2022
01001,Alabama,Autauga,Seed Cotton,Pound,2023.32,0.37,2312.45,0.45,2022
01001,Alabama,Autauga,Soybeans,Bushel,34.00,9.12,39.79,14.2,2022
01001,Alabama,Autauga,Sunflower Seed,Pound,1101.00,0.2,1750,0.28,2022
01001,Alabama,Autauga,Wheat,Bushel,44.57,5.5,42,8.83,2022
01003,Alabama,Baldwin,Corn,Bushel,188.08,3.7,192.57,6.54,2022
01003,Alabama,Baldwin,Corn,Bushel,161.09,3.7,100.74,6.54,2022
01003,Alabama,Baldwin,Grain Sorghum,Bushel,46.25,3.95,41.1,5.94,2022
01003,Alabama,Baldwin,Oats,Bushel,49.67,2.67,50,4.57,2022
01003,Alabama,Baldwin,Soybeans,Bushel,51.47,9.12,57.4,14.2,2022
01003,Alabama,Baldwin,Soybeans,Bushel,42.19,9.12,37.34,14.2,2022
01003,Alabama,Baldwin,Sunflower Seed,Pound,1131.00,0.2,1750,0.28,2022
01003,Alabama,Baldwin,Wheat,Bushel,48.49,5.5,55.91,8.83,2022
01005,Alabama,Barbour,Corn,Bushel,190.95,3.7,221.95,6.54,2022
01005,Alabama,Barbour,Corn,Bushel,123.82,3.7,88.71,6.54,2022
01005,Alabama,Barbour,Grain Sorghum,Bushel,39.07,3.95,41.1,5.94,2022
01005,Alabama,Barbour,Oats,Bushel,44.07,2.67,65,4.57,2022
01005,Alabama,Barbour,Seed Cotton,Pound,2885.47,0.37,2847.43,0.45,2022
01005,Alabama,Barbour,Seed Cotton,Pound,2104.97,0.37,2371.01,0.45,2022
01005,Alabama,Barbour,Soybeans,Bushel,35.37,9.12,40,14.2,2022
